24/10/2018,15:14:32,,,,,,,,,,,,,,,,,,,,,,,,,
FirmwareVer=DropsondeV2OPC-012id PCBv4.SPIdef.............BS,,,,,,,,,,,,,,,,,,,,,,,,,,
bb0,bb1,bb2,bb3,bb4,bb5,bb6,bb7,bb8,bb9,bb10,bb11,bb12,bb13,bb14,GSC,ID,,,,,,,,,,
0,92,208,328,451,578,708,842,979,1119,1263,1411,1562,1716,1874,1,1,,,,,,,,,,
time,temp,hum,b0,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b1tof,b3tof,b5tof,b7tof,period,csum,glitch,longtof,rejrat
109391,325,894,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,144,0,0,0,17365,2,213,67,1
109932,326,889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17372,0,220,67,0
110472,326,890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17301,0,149,67,0
111010,322,883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17302,0,150,67,0
111550,324,882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17301,0,149,67,1
112089,318,876,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,0,17299,2,147,67,0
112633,318,880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17496,0,88,68,0
113172,320,877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17264,0,112,67,0
113711,315,878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17299,0,147,67,0
114249,315,877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17301,0,149,67,0
